linha_csv,grupo_clima,particao
2,6,teste
3,1,treino
4,8,treino
5,23,treino
6,14,treino
7,13,teste
8,11,treino
9,29,treino
10,3,treino
11,0,treino
12,5,treino
13,7,treino
14,21,treino
15,20,treino
16,27,teste
17,18,treino
18,2,treino
19,15,treino
20,33,teste
21,31,treino
22,26,teste
23,9,treino
24,28,treino
25,19,treino
26,16,treino
27,34,treino
28,30,teste
29,38,treino
30,35,treino
31,22,treino
32,36,teste
33,32,treino
34,25,treino
35,24,treino
36,10,treino
37,17,treino
38,37,treino
39,12,treino
40,4,teste
41,6,teste
42,1,treino
43,8,treino
44,23,treino
45,14,treino
46,13,teste
47,11,treino
48,29,treino
49,3,treino
50,0,treino
51,5,treino
52,7,treino
53,21,treino
54,20,treino
55,27,teste
56,18,treino
57,2,treino
58,15,treino
59,33,teste
60,31,treino
61,26,teste
62,9,treino
63,28,treino
64,19,treino
65,16,treino
66,34,treino
67,30,teste
68,38,treino
69,35,treino
70,22,treino
71,36,teste
72,32,treino
73,25,treino
74,24,treino
75,10,treino
76,17,treino
77,37,treino
78,12,treino
79,4,teste
80,6,teste
81,1,treino
82,8,treino
83,23,treino
84,14,treino
85,13,teste
86,11,treino
87,29,treino
88,3,treino
89,0,treino
90,5,treino
91,7,treino
92,21,treino
93,20,treino
94,27,teste
95,18,treino
96,2,treino
97,15,treino
98,33,teste
99,31,treino
100,26,teste
101,9,treino
102,28,treino
103,19,treino
104,16,treino
105,34,treino
106,30,teste
107,38,treino
108,35,treino
109,22,treino
110,36,teste
111,32,treino
112,25,treino
113,24,treino
114,10,treino
115,17,treino
116,37,treino
117,12,treino
118,4,teste
119,6,teste
120,1,treino
121,8,treino
122,23,treino
123,14,treino
124,13,teste
125,11,treino
126,29,treino
127,3,treino
128,0,treino
129,5,treino
130,7,treino
131,21,treino
132,20,treino
133,27,teste
134,18,treino
135,2,treino
136,15,treino
137,33,teste
138,31,treino
139,26,teste
140,9,treino
141,28,treino
142,19,treino
143,16,treino
144,34,treino
145,30,teste
146,38,treino
147,35,treino
148,22,treino
149,36,teste
150,32,treino
151,25,treino
152,24,treino
153,10,treino
154,17,treino
155,37,treino
156,12,treino
157,4,teste
