cultura,chuva,umidade_especifica,umidade_relativa,temperatura,rendimento,outlier_clima,score_lof,outlier_rendimento
"Cocoa, beans",2248.92,17.72,83.4,26.01,11560,False,1.1136063779999599,False
"Cocoa, beans",1938.42,17.54,82.11,26.11,11253,True,1.4180959613263813,False
"Cocoa, beans",2301.54,17.81,82.79,26.24,9456,False,1.1469507024879975,False
"Cocoa, beans",2592.35,17.61,85.07,25.56,9321,True,1.6501974473282885,False
"Cocoa, beans",2344.72,17.61,84.12,25.76,8800,False,1.232783233630986,False
"Cocoa, beans",2339.3,17.7,84.54,25.76,8850,False,1.2945280002169386,False
"Cocoa, beans",2326.09,18.09,84.63,26.11,9003,False,1.023761459732691,False
"Cocoa, beans",2718.08,18.3,85.43,26.12,9880,False,1.0000960195006665,False
"Cocoa, beans",2061.61,17.8,84.36,25.88,9201,False,1.06657981207431,False
"Cocoa, beans",1934.62,17.94,83.43,26.21,8300,False,1.1164751200404317,False
"Cocoa, beans",2217.12,18.03,84.39,26.1,5765,False,1.0723766824541436,False
"Cocoa, beans",2249.7,18.01,84.24,26.11,5812,False,1.0812188349014022,False
"Cocoa, beans",2530.96,18.15,85.33,26.02,6667,False,0.987171292161419,False
"Cocoa, beans",2504.7,18.19,85.45,26.02,6530,False,0.979193139949588,False
"Cocoa, beans",2686.2,18.38,85.77,26.13,6912,False,0.9875263900600781,False
"Cocoa, beans",2414.79,18.18,85.76,25.93,7138,False,1.0918933447769585,False
"Cocoa, beans",1999.53,18.2,84.36,26.27,7525,False,1.0167230906310634,False
"Cocoa, beans",2362.8,18.7,84.03,26.79,7663,False,1.3672327650056366,False
"Cocoa, beans",2792.95,18.24,86.04,25.95,8300,False,1.0012005593128488,False
"Cocoa, beans",2751.24,18.31,85.98,26.02,9274,False,0.9814599267583389,False
"Cocoa, beans",2646.28,18.4,86.02,26.1,9956,False,0.9661817727087441,False
"Cocoa, beans",2302.99,18.22,84.48,26.25,9801,False,0.9794214591360177,False
"Cocoa, beans",2692.34,18.37,85.54,26.18,7965,False,0.9741693770040799,False
"Cocoa, beans",2424.55,18.28,85.16,26.18,7919,False,0.9938444606973864,False
"Cocoa, beans",2363.63,18.35,84.92,26.28,8226,False,1.0400243783104697,False
"Cocoa, beans",2892.78,18.49,86.09,26.18,10062,False,1.0149055036548842,False
"Cocoa, beans",2729.53,18.41,86.03,26.11,12362,False,0.9739796770203206,False
"Cocoa, beans",3085.79,18.34,86.1,26.03,13056,False,1.1329934800671606,False
"Cocoa, beans",2922.18,18.43,85.51,26.23,10058,False,1.0098836954982648,False
"Cocoa, beans",2546.33,18.43,84.23,26.49,7795,False,1.1147020640127738,False
"Cocoa, beans",2938.29,18.22,85.42,26.06,10737,False,1.0008816222431869,False
"Cocoa, beans",2771.73,18.38,84.98,26.3,7979,False,0.9851184028908271,False
"Cocoa, beans",2607.96,18.37,84.67,26.35,7066,False,1.0302515911649555,False
"Cocoa, beans",2604.59,18.19,83.44,26.43,7991,False,1.125114716379763,False
"Cocoa, beans",2308.51,18.27,83.65,26.47,11108,False,1.08632710285833,False
"Cocoa, beans",2410.13,18.58,83.45,26.81,11487,True,1.367373280742165,False
"Cocoa, beans",2967.41,18.67,85.48,26.46,7314,True,1.3891616759108174,False
"Cocoa, beans",2333.46,18.5,84.85,26.43,9502,False,1.1123031498407738,False
"Cocoa, beans",2109.34,18.51,83.52,26.72,8848,False,1.296673823424736,False
Oil palm fruit,2248.92,17.72,83.4,26.01,169783,False,1.1136063779999599,False
Oil palm fruit,1938.42,17.54,82.11,26.11,201436,True,1.4180959613263813,False
Oil palm fruit,2301.54,17.81,82.79,26.24,152343,False,1.1469507024879975,False
Oil palm fruit,2592.35,17.61,85.07,25.56,181826,True,1.6501974473282885,False
Oil palm fruit,2344.72,17.61,84.12,25.76,178183,False,1.232783233630986,False
Oil palm fruit,2339.3,17.7,84.54,25.76,169781,False,1.2945280002169386,False
Oil palm fruit,2326.09,18.09,84.63,26.11,166042,False,1.023761459732691,False
Oil palm fruit,2718.08,18.3,85.43,26.12,165262,False,1.0000960195006665,False
Oil palm fruit,2061.61,17.8,84.36,25.88,183004,False,1.06657981207431,False
Oil palm fruit,1934.62,17.94,83.43,26.21,177543,False,1.1164751200404317,False
Oil palm fruit,2217.12,18.03,84.39,26.1,150428,False,1.0723766824541436,False
Oil palm fruit,2249.7,18.01,84.24,26.11,151070,False,1.0812188349014022,False
Oil palm fruit,2530.96,18.15,85.33,26.02,172165,False,0.987171292161419,False
Oil palm fruit,2504.7,18.19,85.45,26.02,160862,False,0.979193139949588,False
Oil palm fruit,2686.2,18.38,85.77,26.13,166136,False,0.9875263900600781,False
Oil palm fruit,2414.79,18.18,85.76,25.93,163541,False,1.0918933447769585,False
Oil palm fruit,1999.53,18.2,84.36,26.27,164772,False,1.0167230906310634,False
Oil palm fruit,2362.8,18.7,84.03,26.79,142425,False,1.3672327650056366,False
Oil palm fruit,2792.95,18.24,86.04,25.95,165993,False,1.0012005593128488,False
Oil palm fruit,2751.24,18.31,85.98,26.02,167621,False,0.9814599267583389,False
Oil palm fruit,2646.28,18.4,86.02,26.1,168476,False,0.9661817727087441,False
Oil palm fruit,2302.99,18.22,84.48,26.25,162240,False,0.9794214591360177,False
Oil palm fruit,2692.34,18.37,85.54,26.18,175629,False,0.9741693770040799,False
Oil palm fruit,2424.55,18.28,85.16,26.18,180323,False,0.9938444606973864,False
Oil palm fruit,2363.63,18.35,84.92,26.28,184629,False,1.0400243783104697,False
Oil palm fruit,2892.78,18.49,86.09,26.18,190626,False,1.0149055036548842,False
Oil palm fruit,2729.53,18.41,86.03,26.11,183544,False,0.9739796770203206,False
Oil palm fruit,3085.79,18.34,86.1,26.03,195523,False,1.1329934800671606,False
Oil palm fruit,2922.18,18.43,85.51,26.23,182696,False,1.0098836954982648,False
Oil palm fruit,2546.33,18.43,84.23,26.49,171189,False,1.1147020640127738,False
Oil palm fruit,2938.29,18.22,85.42,26.06,185831,False,1.0008816222431869,False
Oil palm fruit,2771.73,18.38,84.98,26.3,186959,False,0.9851184028908271,False
Oil palm fruit,2607.96,18.37,84.67,26.35,181496,False,1.0302515911649555,False
Oil palm fruit,2604.59,18.19,83.44,26.43,203399,False,1.125114716379763,False
Oil palm fruit,2308.51,18.27,83.65,26.47,202379,False,1.08632710285833,False
Oil palm fruit,2410.13,18.58,83.45,26.81,172601,True,1.367373280742165,False
Oil palm fruit,2967.41,18.67,85.48,26.46,199074,True,1.3891616759108174,False
Oil palm fruit,2333.46,18.5,84.85,26.43,189657,False,1.1123031498407738,False
Oil palm fruit,2109.34,18.51,83.52,26.72,189896,False,1.296673823424736,False
"Rice, paddy",2248.92,17.72,83.4,26.01,28409,False,1.1136063779999599,False
"Rice, paddy",1938.42,17.54,82.11,26.11,27619,True,1.4180959613263813,False
"Rice, paddy",2301.54,17.81,82.79,26.24,26041,False,1.1469507024879975,False
"Rice, paddy",2592.35,17.61,85.07,25.56,25187,True,1.6501974473282885,False
"Rice, paddy",2344.72,17.61,84.12,25.76,26648,False,1.232783233630986,False
"Rice, paddy",2339.3,17.7,84.54,25.76,26399,False,1.2945280002169386,False
"Rice, paddy",2326.09,18.09,84.63,26.11,24686,False,1.023761459732691,False
"Rice, paddy",2718.08,18.3,85.43,26.12,25251,False,1.0000960195006665,False
"Rice, paddy",2061.61,17.8,84.36,25.88,26251,False,1.06657981207431,False
"Rice, paddy",1934.62,17.94,83.43,26.21,27694,False,1.1164751200404317,False
"Rice, paddy",2217.12,18.03,84.39,26.1,28178,False,1.0723766824541436,False
"Rice, paddy",2249.7,18.01,84.24,26.11,29918,False,1.0812188349014022,False
"Rice, paddy",2530.96,18.15,85.33,26.02,30348,False,0.987171292161419,False
"Rice, paddy",2504.7,18.19,85.45,26.02,30614,False,0.979193139949588,False
"Rice, paddy",2686.2,18.38,85.77,26.13,31619,False,0.9875263900600781,False
"Rice, paddy",2414.79,18.18,85.76,25.93,32510,False,1.0918933447769585,False
"Rice, paddy",1999.53,18.2,84.36,26.27,30676,False,1.0167230906310634,False
"Rice, paddy",2362.8,18.7,84.03,26.79,28829,False,1.3672327650056366,False
"Rice, paddy",2792.95,18.24,86.04,25.95,29415,False,1.0012005593128488,False
"Rice, paddy",2751.24,18.31,85.98,26.02,30640,False,0.9814599267583389,False
"Rice, paddy",2646.28,18.4,86.02,26.1,31101,False,0.9661817727087441,False
"Rice, paddy",2302.99,18.22,84.48,26.25,32385,False,0.9794214591360177,False
"Rice, paddy",2692.34,18.37,85.54,26.18,33596,False,0.9741693770040799,False
"Rice, paddy",2424.55,18.28,85.16,26.18,33260,False,0.9938444606973864,False
"Rice, paddy",2363.63,18.35,84.92,26.28,34221,False,1.0400243783104697,False
"Rice, paddy",2892.78,18.49,86.09,26.18,33907,False,1.0149055036548842,False
"Rice, paddy",2729.53,18.41,86.03,26.11,35277,False,0.9739796770203206,False
"Rice, paddy",3085.79,18.34,86.1,26.03,35836,False,1.1329934800671606,False
"Rice, paddy",2922.18,18.43,85.51,26.23,37205,False,1.0098836954982648,False
"Rice, paddy",2546.33,18.43,84.23,26.49,36361,False,1.1147020640127738,False
"Rice, paddy",2938.29,18.22,85.42,26.06,37468,False,1.0008816222431869,False
"Rice, paddy",2771.73,18.38,84.98,26.3,37972,False,0.9851184028908271,False
"Rice, paddy",2607.96,18.37,84.67,26.35,38763,False,1.0302515911649555,False
"Rice, paddy",2604.59,18.19,83.44,26.43,29855,False,1.125114716379763,False
"Rice, paddy",2308.51,18.27,83.65,26.47,40223,False,1.08632710285833,False
"Rice, paddy",2410.13,18.58,83.45,26.81,39775,True,1.367373280742165,False
"Rice, paddy",2967.41,18.67,85.48,26.46,37496,True,1.3891616759108174,False
"Rice, paddy",2333.46,18.5,84.85,26.43,37704,False,1.1123031498407738,False
"Rice, paddy",2109.34,18.51,83.52,26.72,42550,False,1.296673823424736,False
"Rubber, natural",2248.92,17.72,83.4,26.01,9322,False,1.1136063779999599,False
"Rubber, natural",1938.42,17.54,82.11,26.11,9223,True,1.4180959613263813,False
"Rubber, natural",2301.54,17.81,82.79,26.24,9866,False,1.1469507024879975,False
"Rubber, natural",2592.35,17.61,85.07,25.56,9718,True,1.6501974473282885,False
"Rubber, natural",2344.72,17.61,84.12,25.76,9573,False,1.232783233630986,False
"Rubber, natural",2339.3,17.7,84.54,25.76,10024,False,1.2945280002169386,False
"Rubber, natural",2326.09,18.09,84.63,26.11,10285,False,1.023761459732691,False
"Rubber, natural",2718.08,18.3,85.43,26.12,10010,False,1.0000960195006665,False
"Rubber, natural",2061.61,17.8,84.36,25.88,8604,False,1.06657981207431,False
"Rubber, natural",1934.62,17.94,83.43,26.21,8002,False,1.1164751200404317,False
"Rubber, natural",2217.12,18.03,84.39,26.1,6913,False,1.0723766824541436,False
"Rubber, natural",2249.7,18.01,84.24,26.11,6546,False,1.0812188349014022,False
"Rubber, natural",2530.96,18.15,85.33,26.02,6077,False,0.987171292161419,False
"Rubber, natural",2504.7,18.19,85.45,26.02,6333,False,0.979193139949588,False
"Rubber, natural",2686.2,18.38,85.77,26.13,6448,False,0.9875263900600781,False
"Rubber, natural",2414.79,18.18,85.76,25.93,6562,False,1.0918933447769585,False
"Rubber, natural",1999.53,18.2,84.36,26.27,6008,False,1.0167230906310634,False
"Rubber, natural",2362.8,18.7,84.03,26.79,5693,False,1.3672327650056366,False
"Rubber, natural",2792.95,18.24,86.04,25.95,5249,False,1.0012005593128488,False
"Rubber, natural",2751.24,18.31,85.98,26.02,6484,False,0.9814599267583389,False
"Rubber, natural",2646.28,18.4,86.02,26.1,6348,False,0.9661817727087441,False
"Rubber, natural",2302.99,18.22,84.48,26.25,6597,False,0.9794214591360177,False
"Rubber, natural",2692.34,18.37,85.54,26.18,7435,False,0.9741693770040799,False
"Rubber, natural",2424.55,18.28,85.16,26.18,9139,False,0.9938444606973864,False
"Rubber, natural",2363.63,18.35,84.92,26.28,8857,False,1.0400243783104697,False
"Rubber, natural",2892.78,18.49,86.09,26.18,10159,False,1.0149055036548842,False
"Rubber, natural",2729.53,18.41,86.03,26.11,9612,False,0.9739796770203206,False
"Rubber, natural",3085.79,18.34,86.1,26.03,8599,False,1.1329934800671606,False
"Rubber, natural",2922.18,18.43,85.51,26.23,8337,False,1.0098836954982648,False
"Rubber, natural",2546.33,18.43,84.23,26.49,9205,False,1.1147020640127738,False
"Rubber, natural",2938.29,18.22,85.42,26.06,9701,False,1.0008816222431869,False
"Rubber, natural",2771.73,18.38,84.98,26.3,8865,False,0.9851184028908271,False
"Rubber, natural",2607.96,18.37,84.67,26.35,7817,False,1.0302515911649555,False
"Rubber, natural",2604.59,18.19,83.44,26.43,6275,False,1.125114716379763,False
"Rubber, natural",2308.51,18.27,83.65,26.47,6721,False,1.08632710285833,False
"Rubber, natural",2410.13,18.58,83.45,26.81,6248,True,1.367373280742165,False
"Rubber, natural",2967.41,18.67,85.48,26.46,6842,True,1.3891616759108174,False
"Rubber, natural",2333.46,18.5,84.85,26.43,5571,False,1.1123031498407738,False
"Rubber, natural",2109.34,18.51,83.52,26.72,5903,False,1.296673823424736,False
