cultura,chuva,umidade_especifica,umidade_relativa,temperatura,rendimento,cluster,rendimento_relativo
"Cocoa, beans",2248.92,17.72,83.4,26.01,11560,2,1.306509945750452
"Cocoa, beans",1938.42,17.54,82.11,26.11,11253,2,1.2718128390596746
"Cocoa, beans",2301.54,17.81,82.79,26.24,9456,2,1.0687160940325497
"Cocoa, beans",2592.35,17.61,85.07,25.56,9321,2,1.0534584086799277
"Cocoa, beans",2344.72,17.61,84.12,25.76,8800,2,0.9945750452079566
"Cocoa, beans",2339.3,17.7,84.54,25.76,8850,2,1.0002260397830018
"Cocoa, beans",2326.09,18.09,84.63,26.11,9003,2,1.0175180831826403
"Cocoa, beans",2718.08,18.3,85.43,26.12,9880,0,1.116636528028933
"Cocoa, beans",2061.61,17.8,84.36,25.88,9201,2,1.0398960216998192
"Cocoa, beans",1934.62,17.94,83.43,26.21,8300,2,0.9380650994575045
"Cocoa, beans",2217.12,18.03,84.39,26.1,5765,2,0.6515596745027125
"Cocoa, beans",2249.7,18.01,84.24,26.11,5812,2,0.656871609403255
"Cocoa, beans",2530.96,18.15,85.33,26.02,6667,0,0.753503616636528
"Cocoa, beans",2504.7,18.19,85.45,26.02,6530,0,0.7380198915009042
"Cocoa, beans",2686.2,18.38,85.77,26.13,6912,0,0.7811934900542495
"Cocoa, beans",2414.79,18.18,85.76,25.93,7138,0,0.8067359855334539
"Cocoa, beans",1999.53,18.2,84.36,26.27,7525,1,0.8504746835443038
"Cocoa, beans",2362.8,18.7,84.03,26.79,7663,1,0.8660714285714286
"Cocoa, beans",2792.95,18.24,86.04,25.95,8300,0,0.9380650994575045
"Cocoa, beans",2751.24,18.31,85.98,26.02,9274,0,1.048146473779385
"Cocoa, beans",2646.28,18.4,86.02,26.1,9956,0,1.1252260397830018
"Cocoa, beans",2302.99,18.22,84.48,26.25,9801,1,1.1077079566003616
"Cocoa, beans",2692.34,18.37,85.54,26.18,7965,0,0.9002034358047016
"Cocoa, beans",2424.55,18.28,85.16,26.18,7919,0,0.8950045207956601
"Cocoa, beans",2363.63,18.35,84.92,26.28,8226,1,0.9297016274864376
"Cocoa, beans",2892.78,18.49,86.09,26.18,10062,0,1.1372061482820977
"Cocoa, beans",2729.53,18.41,86.03,26.11,12362,0,1.3971518987341771
"Cocoa, beans",3085.79,18.34,86.1,26.03,13056,0,1.4755877034358047
"Cocoa, beans",2922.18,18.43,85.51,26.23,10058,0,1.136754068716094
"Cocoa, beans",2546.33,18.43,84.23,26.49,7795,1,0.8809900542495479
"Cocoa, beans",2938.29,18.22,85.42,26.06,10737,0,1.213494575045208
"Cocoa, beans",2771.73,18.38,84.98,26.3,7979,0,0.9017857142857143
"Cocoa, beans",2607.96,18.37,84.67,26.35,7066,1,0.7985985533453888
"Cocoa, beans",2604.59,18.19,83.44,26.43,7991,1,0.9031419529837251
"Cocoa, beans",2308.51,18.27,83.65,26.47,11108,1,1.2554249547920433
"Cocoa, beans",2410.13,18.58,83.45,26.81,11487,1,1.298259493670886
"Cocoa, beans",2967.41,18.67,85.48,26.46,7314,0,0.826627486437613
"Cocoa, beans",2333.46,18.5,84.85,26.43,9502,1,1.0739150090415914
"Cocoa, beans",2109.34,18.51,83.52,26.72,8848,1,1.0
Oil palm fruit,2248.92,17.72,83.4,26.01,169783,2,0.9667139253767886
Oil palm fruit,1938.42,17.54,82.11,26.11,201436,2,1.146940425556144
Oil palm fruit,2301.54,17.81,82.79,26.24,152343,2,0.8674136959158225
Oil palm fruit,2592.35,17.61,85.07,25.56,181826,2,1.0352846056175233
Oil palm fruit,2344.72,17.61,84.12,25.76,178183,2,1.0145420175483548
Oil palm fruit,2339.3,17.7,84.54,25.76,169781,2,0.9667025377357953
Oil palm fruit,2326.09,18.09,84.63,26.11,166042,2,0.9454133428989517
Oil palm fruit,2718.08,18.3,85.43,26.12,165262,0,0.940972162911592
Oil palm fruit,2061.61,17.8,84.36,25.88,183004,2,1.0419919261625359
Oil palm fruit,1934.62,17.94,83.43,26.21,177543,2,1.0108979724305212
Oil palm fruit,2217.12,18.03,84.39,26.1,150428,2,0.8565100296648048
Oil palm fruit,2249.7,18.01,84.24,26.11,151070,2,0.8601654624236317
Oil palm fruit,2530.96,18.15,85.33,26.02,172165,0,0.9802766057997255
Oil palm fruit,2504.7,18.19,85.45,26.02,160862,0,0.915919352726486
Oil palm fruit,2686.2,18.38,85.77,26.13,166136,0,0.9459485620256336
Oil palm fruit,2414.79,18.18,85.76,25.93,163541,0,0.9311730978369176
Oil palm fruit,1999.53,18.2,84.36,26.27,164772,1,0.9381821908682507
Oil palm fruit,2362.8,18.7,84.03,26.79,142425,1,0.8109423842303948
Oil palm fruit,2792.95,18.24,86.04,25.95,165993,0,0.9451343456946176
Oil palm fruit,2751.24,18.31,85.98,26.02,167621,0,0.9544038854631068
Oil palm fruit,2646.28,18.4,86.02,26.1,168476,0,0.9592721019877127
Oil palm fruit,2302.99,18.22,84.48,26.25,162240,1,0.9237654373708214
Oil palm fruit,2692.34,18.37,85.54,26.18,175629,0,1.0
Oil palm fruit,2424.55,18.28,85.16,26.18,180323,0,1.0267267934111108
Oil palm fruit,2363.63,18.35,84.92,26.28,184629,1,1.0512443844695352
Oil palm fruit,2892.78,18.49,86.09,26.18,190626,0,1.0853902259877355
Oil palm fruit,2729.53,18.41,86.03,26.11,183544,0,1.0450665892307078
Oil palm fruit,3085.79,18.34,86.1,26.03,195523,0,1.1132728649596593
Oil palm fruit,2922.18,18.43,85.51,26.23,182696,0,1.0402382294495784
Oil palm fruit,2546.33,18.43,84.23,26.49,171189,1,0.9747194369950293
Oil palm fruit,2938.29,18.22,85.42,26.06,185831,0,1.0580883567064665
Oil palm fruit,2771.73,18.38,84.98,26.3,186959,0,1.0645109862266482
Oil palm fruit,2607.96,18.37,84.67,26.35,181496,1,1.0334056448536404
Oil palm fruit,2604.59,18.19,83.44,26.43,203399,1,1.158117395190999
Oil palm fruit,2308.51,18.27,83.65,26.47,202379,1,1.1523096982844518
Oil palm fruit,2410.13,18.58,83.45,26.81,172601,1,0.9827591115362497
Oil palm fruit,2967.41,18.67,85.48,26.46,199074,0,1.1334916215431392
Oil palm fruit,2333.46,18.5,84.85,26.43,189657,1,1.0798729139265155
Oil palm fruit,2109.34,18.51,83.52,26.72,189896,1,1.0812337370252065
"Rice, paddy",2248.92,17.72,83.4,26.01,28409,2,0.9134432976431626
"Rice, paddy",1938.42,17.54,82.11,26.11,27619,2,0.8880421851387416
"Rice, paddy",2301.54,17.81,82.79,26.24,26041,2,0.8373042667438346
"Rice, paddy",2592.35,17.61,85.07,25.56,25187,2,0.8098453425934857
"Rice, paddy",2344.72,17.61,84.12,25.76,26648,2,0.8568213240731809
"Rice, paddy",2339.3,17.7,84.54,25.76,26399,2,0.8488151506382432
"Rice, paddy",2326.09,18.09,84.63,26.11,24686,2,0.7937365358027073
"Rice, paddy",2718.08,18.3,85.43,26.12,25251,0,0.8119031542394135
"Rice, paddy",2061.61,17.8,84.36,25.88,26251,2,0.8440564612070351
"Rice, paddy",1934.62,17.94,83.43,26.21,27694,2,0.8904536831613131
"Rice, paddy",2217.12,18.03,84.39,26.1,28178,2,0.9060158837336421
"Rice, paddy",2249.7,18.01,84.24,26.11,29918,2,0.9619626378573036
"Rice, paddy",2530.96,18.15,85.33,26.02,30348,0,0.9757885598533809
"Rice, paddy",2504.7,18.19,85.45,26.02,30614,0,0.9843413395067683
"Rice, paddy",2686.2,18.38,85.77,26.13,31619,0,1.016655413009228
"Rice, paddy",2414.79,18.18,85.76,25.93,32510,0,1.045304009517379
"Rice, paddy",1999.53,18.2,84.36,26.27,30676,1,0.9863348445387609
"Rice, paddy",2362.8,18.7,84.03,26.79,28829,1,0.9269476865695637
"Rice, paddy",2792.95,18.24,86.04,25.95,29415,0,0.9457895244525899
