indice_original,cultura,chuva,umidade_especifica,umidade_relativa,temperatura,real,previsto,residuo,baseline
0,"Cocoa, beans",2248.92,17.72,83.4,26.01,11560,9465.445453968256,2094.5545460317444,8674.741935483871
5,"Cocoa, beans",2339.3,17.7,84.54,25.76,8850,9158.814844444441,-308.8148444444414,8674.741935483871
14,"Cocoa, beans",2686.2,18.38,85.77,26.13,6912,8547.361500000003,-1635.3615000000027,8674.741935483871
18,"Cocoa, beans",2792.95,18.24,86.04,25.95,8300,9729.545633333335,-1429.545633333335,8674.741935483871
20,"Cocoa, beans",2646.28,18.4,86.02,26.1,9956,8259.75571904762,1696.24428095238,8674.741935483871
26,"Cocoa, beans",2729.53,18.41,86.03,26.11,12362,9339.797961904764,3022.2020380952363,8674.741935483871
30,"Cocoa, beans",2938.29,18.22,85.42,26.06,10737,8447.51689523809,2289.48310476191,8674.741935483871
38,"Cocoa, beans",2109.34,18.51,83.52,26.72,8848,9367.963442857144,-519.9634428571444,8674.741935483871
39,Oil palm fruit,2248.92,17.72,83.4,26.01,169783,174501.0835555556,-4718.083555555611,176030.4193548387
44,Oil palm fruit,2339.3,17.7,84.54,25.76,169781,177454.48560793663,-7673.485607936629,176030.4193548387
53,Oil palm fruit,2686.2,18.38,85.77,26.13,166136,175526.27059841264,-9390.270598412637,176030.4193548387
57,Oil palm fruit,2792.95,18.24,86.04,25.95,165993,176491.82377619055,-10498.823776190548,176030.4193548387
59,Oil palm fruit,2646.28,18.4,86.02,26.1,168476,175837.11780793645,-7361.117807936447,176030.4193548387
65,Oil palm fruit,2729.53,18.41,86.03,26.11,183544,175813.37698412695,7730.623015873047,176030.4193548387
69,Oil palm fruit,2938.29,18.22,85.42,26.06,185831,178677.01039350644,7153.98960649356,176030.4193548387
77,Oil palm fruit,2109.34,18.51,83.52,26.72,189896,173975.61802857145,15920.38197142855,176030.4193548387
78,"Rice, paddy",2248.92,17.72,83.4,26.01,28409,27568.422976190468,840.577023809532,31924.16129032258
83,"Rice, paddy",2339.3,17.7,84.54,25.76,26399,26058.422323809515,340.57767619048536,31924.16129032258
92,"Rice, paddy",2686.2,18.38,85.77,26.13,31619,33901.73456320347,-2282.7345632034703,31924.16129032258
96,"Rice, paddy",2792.95,18.24,86.04,25.95,29415,30843.347266666653,-1428.347266666653,31924.16129032258
98,"Rice, paddy",2646.28,18.4,86.02,26.1,31101,33860.53971558442,-2759.5397155844184,31924.16129032258
104,"Rice, paddy",2729.53,18.41,86.03,26.11,35277,33797.66329653681,1479.3367034631883,31924.16129032258
108,"Rice, paddy",2938.29,18.22,85.42,26.06,37468,29889.40783621934,7578.5921637806605,31924.16129032258
116,"Rice, paddy",2109.34,18.51,83.52,26.72,42550,36924.93774285715,5625.062257142847,31924.16129032258
117,"Rubber, natural",2248.92,17.72,83.4,26.01,9322,9272.25818253968,49.74181746032082,7824.645161290323
122,"Rubber, natural",2339.3,17.7,84.54,25.76,10024,9269.174758730152,754.8252412698475,7824.645161290323
131,"Rubber, natural",2686.2,18.38,85.77,26.13,6448,8246.747299999997,-1798.7472999999973,7824.645161290323
135,"Rubber, natural",2792.95,18.24,86.04,25.95,5249,8788.349014285717,-3539.349014285717,7824.645161290323
137,"Rubber, natural",2646.28,18.4,86.02,26.1,6348,7889.183404761905,-1541.183404761905,7824.645161290323
143,"Rubber, natural",2729.53,18.41,86.03,26.11,9612,8669.092604761901,942.9073952380986,7824.645161290323
147,"Rubber, natural",2938.29,18.22,85.42,26.06,9701,7891.353957142853,1809.6460428571472,7824.645161290323
155,"Rubber, natural",2109.34,18.51,83.52,26.72,5903,7104.517863492062,-1201.5178634920621,7824.645161290323
